config,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc,mci_weight,gamma,lr,K,wd
0,0.6643089282125142,0.6018162393162393,0.7617894576189622,0.5668283988060662,0.3416200759936247,0.8532839918678609,0.44675459174192367,0.6502787373998534,0.5485166645708885,0.6944412309174358,3.7,1.0,0.001,2,0.0005
1,0.6665368944151769,0.6403910903910902,0.710976027399694,0.6220977614306595,0.34081893436134486,0.9036421557648043,0.45006895416414844,0.7094517889003779,0.5797603715322631,0.7068790453559459,3.7,1.0,0.001,2,0.001
2,0.6501195784579081,0.5585988085988086,0.7982962539914426,0.5019429029243738,0.3026854434080412,0.8477530913458675,0.4273610086831126,0.6176633908377229,0.5225121997604177,0.6885088663893862,3.7,1.0,0.001,3,0.0005
3,0.6753034878205446,0.6329286454286454,0.7451943822985437,0.6054125933425456,0.34215354294194383,0.9096247229411837,0.45613068168443577,0.7004974345627135,0.5783140581235746,0.7074507198252629,3.7,1.0,0.001,3,0.001
4,0.6761816390652302,0.618091168091168,0.7722330104455549,0.5801302676849053,0.35369761843953784,0.8432721653587838,0.4675077908642933,0.6532698846624273,0.5603888377633605,0.7211141271273261,3.7,1.0,0.003,2,0.0005
5,0.6774133388251998,0.5903231028231027,0.8210305488768154,0.5337961287735841,0.32634214893065133,0.8552464846770391,0.4577006098668671,0.6410414078631445,0.5493710088650057,0.7266115021769423,3.7,1.0,0.003,2,0.001
6,0.666412631826489,0.6171943796943796,0.7468076052740266,0.5860176583789516,0.3446472451662925,0.9087305609442111,0.4536340530225641,0.6719147505293104,0.5627744017759373,0.7176521971557596,3.7,1.0,0.003,3,0.0005
7,0.6840570764018513,0.6352466977466977,0.7613892013400608,0.6067249514636419,0.3716777089721823,0.8474876842765755,0.47761988120109594,0.6818887128848187,0.5797542970429573,0.740524055916673,3.7,1.0,0.003,3,0.001
8,0.6505058108253434,0.5587703962703963,0.8000724506019489,0.500939171048738,0.3125293460424485,0.7272686441295705,0.43445607897734456,0.5884175424995799,0.5114368107384621,0.6724020016221122,3.7,1.4,0.001,2,0.0005
9,0.6527950603122954,0.5536098161098162,0.81538050082901,0.490209619795581,0.30513934056599457,0.9308531571237978,0.43242860866337324,0.5904592696003229,0.5114439391318482,0.7056500380240254,3.7,1.4,0.001,2,0.001
10,0.6658353299283202,0.5725200725200724,0.819916486428847,0.5117541734277932,0.30877062315430626,0.9298774229292792,0.4416454722516477,0.6225865326396457,0.5321160024456467,0.7118603842401775,3.7,1.4,0.001,3,0.0005
11,0.6569617113428383,0.5722092722092722,0.796339358350459,0.5175840643352178,0.3193599096370574,0.8594200275501156,0.4403860755490043,0.610225013822413,0.5253055446857087,0.7205705761177518,3.7,1.4,0.001,3,0.001
12,0.6916034119796974,0.6264665889665889,0.8000491328276013,0.5831576911317935,0.351949068269502,0.9306417419251515,0.4746683884121745,0.6795875653012456,0.5771279768567101,0.7357756302374888,3.7,1.4,0.003,2,0.0005
13,0.6757342684058492,0.6343142968142969,0.7447986640721961,0.6066698727395018,0.36003152498315044,0.78079075744842,0.47070341426811413,0.6777567904027719,0.574230102335443,0.7242003920885837,3.7,1.4,0.003,2,0.001
14,0.6737037587194356,0.6087347837347837,0.7821860439516696,0.5652214734872014,0.34260756484567145,0.9096971054058673,0.4580481333408443,0.6625544030409883,0.5603012681909162,0.7126057453421325,3.7,1.4,0.003,3,0.0005
15,0.68429209149801,0.6129144004144005,0.8029200441122945,0.5656641388837259,0.3361181699019395,0.8579476879676853,0.46524318747763527,0.6660122257580399,0.5656277066178376,0.7263933824755898,3.7,1.4,0.003,3,0.001
16,0.6461299344422851,0.5206811706811707,0.8513781093031506,0.44088175958141934,0.2936605060941294,0.8731653428650584,0.42461456925666613,0.5535438958968297,0.489079232576748,0.7165635361014251,3.7,1.8,0.001,2,0.0005
17,0.6349845350377847,0.5282213157213157,0.8085745059750088,0.46139456410056073,0.3078927775781791,0.9010673251432154,0.42088312289798696,0.5605274394586777,0.49070528117833234,0.6766494121232237,3.7,1.8,0.001,2,0.001
18,0.6455336482052351,0.5484039109039109,0.7998308616780595,0.4912364347324108,0.3100898181455157,0.8565666166480986,0.4145360456854803,0.5958078987547482,0.5051719722201143,0.703060083977712,3.7,1.8,0.001,3,0.0005
19,0.6428356080771159,0.5291666666666666,0.8271517407498942,0.45851947540433763,0.30412851823790304,0.8615327087172685,0.4203281853803297,0.5612734059559739,0.49080079566815177,0.7170768499286305,3.7,1.8,0.001,3,0.001
20,0.6753229170205295,0.6088707588707589,0.7845852449857278,0.566060589055331,0.33717410075799326,0.9224669924120704,0.45412872392976805,0.6614659664784001,0.5577973452040841,0.7302446366038494,3.7,1.8,0.003,2,0.0005
21,0.6687053482177718,0.566572779072779,0.8391008522262631,0.49830984420928054,0.31749776748506725,0.8735071152876798,0.4509288741513526,0.5957689395401352,0.5233489068457439,0.7206792729308321,3.7,1.8,0.003,2,0.001
22,0.6677556825974681,0.5939555814555814,0.7858610697911541,0.5496502954037822,0.3321333448812253,0.85632064811496,0.44221802863944004,0.643379200119151,0.5427986143792956,0.7239030751876977,3.7,1.8,0.003,3,0.0005
23,0.6663930411686309,0.5642320642320642,0.8328353469621924,0.4999507353750693,0.3227190682280502,0.9330099480230446,0.4489160096692789,0.6011242038759448,0.5250201067726119,0.7390768276911012,3.7,1.8,0.003,3,0.001
24,0.649889674386818,0.5676314426314426,0.7805071384147311,0.5192722103589048,0.31136844936792385,0.8481987785953866,0.4273222223117603,0.6199618550490429,0.5236420386804016,0.6865309292059035,4.2,1.0,0.001,2,0.0005
25,0.6469721201833706,0.5609557109557108,0.7909121780745363,0.5030320622922049,0.2999874510401749,0.8919489954146049,0.42652870081725597,0.6124127111639491,0.5194707059906026,0.6942096085145005,4.2,1.0,0.001,2,0.001
26,0.6674860975773476,0.567896917896918,0.8292721746548153,0.5057000204998797,0.31205321454873547,0.9286225003714965,0.4415311704457164,0.622034117503773,0.5317826439747447,0.7269510795249886,4.2,1.0,0.001,3,0.0005
27,0.6529836478980625,0.5536292411292412,0.813642329026781,0.49232496676934373,0.3005579878261551,0.9156551226127172,0.42746618917277257,0.6123623286538099,0.5199142589132912,0.7139765302250947,4.2,1.0,0.001,3,0.001
28,0.6764857627083375,0.5967495467495467,0.8071836930374073,0.5457878323792674,0.3435701618170522,0.8679472849979583,0.46511070831172163,0.6287041068115613,0.5469074075616417,0.7429704829284471,4.2,1.0,0.003,2,0.0005
29,0.6653102101195114,0.587917637917638,0.7935042262696463,0.5371161939693769,0.3300022886422859,0.8953389690181263,0.451311607606,0.6295567473329033,0.5404341774694515,0.7216447235437847,4.2,1.0,0.003,2,0.001
30,0.6665868165059147,0.6046587671587672,0.7706079124780401,0.5625657205337896,0.34132641386280427,0.8597909681624034,0.4564009800308487,0.6404861340740825,0.5484435570524656,0.7222312104349343,4.2,1.0,0.003,3,0.0005
31,0.6870791596742443,0.6019133644133643,0.8288708726935724,0.5452874466549161,0.34789531304424365,0.8695550712439728,0.4751395862019859,0.6305375259186382,0.552838556060312,0.7466378334301083,4.2,1.0,0.003,3,0.001
