config,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc,mci_weight,gamma,lr,wd,hidden
0,0.7463735162856796,0.7410385910385912,0.7548883496504374,0.7378586829209219,0.41932773149060193,0.9241202889882182,0.5356525522208737,0.8193679319677006,0.6775102420942872,0.7735730179412003,3.7,1.0,0.001,0.0005,32
1,0.7282827029170262,0.7396432271432271,0.7118573700101152,0.7447080358239373,0.42636511317990344,0.9151088122943782,0.5234023277027604,0.8167631987136892,0.6700827632082249,0.7637247900038674,3.7,1.0,0.001,0.0005,64
2,0.7261764234563365,0.7192793317793317,0.7357327337659942,0.7166201131466787,0.40601589988518766,0.9152950079029831,0.5147123882155287,0.7989989592688521,0.6568556737421904,0.7534900811373182,3.7,1.0,0.001,0.001,32
3,0.7366157392208487,0.7294968919968919,0.7492734586940996,0.7239580197475981,0.41032026476157085,0.9234123741813296,0.5223946383865423,0.8084565794188314,0.6654256089026871,0.7724169073624075,3.7,1.0,0.001,0.001,64
4,0.7321034851554917,0.7183210308210307,0.7512528012361208,0.7129541690748628,0.404040484709674,0.920220337538821,0.5163361319679293,0.7995195811468849,0.6579278565574072,0.7772001522844455,3.7,1.0,0.003,0.0005,32
5,0.7274907536826253,0.736013986013986,0.713555964381216,0.7414255429840346,0.4104673009621418,0.9132412073910319,0.516467662576572,0.8167230884810529,0.6665953755288125,0.7621975592773533,3.7,1.0,0.003,0.0005,64
6,0.7306021929053248,0.7253172753172753,0.7381459449837596,0.72305844082689,0.40330155665593836,0.918284991932633,0.5158094657069306,0.8067494940733576,0.661279479890144,0.7645924314695992,3.7,1.0,0.003,0.001,32
7,0.7272463906858041,0.7312937062937064,0.7195222116469842,0.7349705697246239,0.40374673002696676,0.9141509066267152,0.5130295152977623,0.8132615489762655,0.6631455321370139,0.7634879816925221,3.7,1.0,0.003,0.001,64
8,0.7162810107087441,0.715556203056203,0.7141043383715406,0.7184576830459475,0.3975125333759226,0.9112944417033653,0.49674371264846956,0.7995089306507508,0.6481263216496103,0.7488838761997461,3.7,1.4,0.001,0.0005,32
9,0.733960510415231,0.7349909349909348,0.7338103548252175,0.7341106660052447,0.4151560097085065,0.919120088053487,0.5243570780751999,0.8138305719597232,0.6690938250174615,0.7657564738928089,3.7,1.4,0.001,0.0005,64
10,0.7261242905912334,0.6956455581455582,0.7736029258797855,0.6786456553026812,0.37942699505310995,0.9238110973572934,0.5024804503534697,0.7791257986597669,0.6408031245066182,0.7718095641200503,3.7,1.4,0.001,0.001,32
11,0.7356422711147577,0.711425148925149,0.7730438254909228,0.6982407167385929,0.40027966282482885,0.9275667631978041,0.5161394340306159,0.7916714805368721,0.6539054572837439,0.777955787712871,3.7,1.4,0.001,0.001,64
12,0.7402526571619145,0.728499740999741,0.7578621853648286,0.7226431289590003,0.411251125778449,0.9230521329224038,0.5268651822759362,0.8082579679937767,0.6675615751348563,0.7704124157456561,3.7,1.4,0.003,0.0005,32
13,0.7240513769765214,0.7072714322714323,0.7504172999448132,0.6976854540082295,0.39672916614810144,0.9204828615171253,0.5078922759721124,0.7874656654504172,0.6476789707112648,0.7768970881370528,3.7,1.4,0.003,0.0005,64
14,0.7235619447007656,0.7261687386687387,0.7205032464311931,0.7266206429703382,0.4087811271019585,0.9158501249565584,0.5135613390777887,0.8048031889230277,0.6591822640004081,0.7610410970104826,3.7,1.4,0.003,0.001,32
15,0.7348875198537144,0.7276450401450401,0.7473171525558048,0.7224578871516243,0.41477430777356056,0.9233614015573631,0.5241726287386357,0.80453432777637,0.664353478257503,0.7679039123426994,3.7,1.4,0.003,0.001,64
16,0.7307004838045615,0.696976171976172,0.786893359988634,0.6745076076204892,0.3775844216902522,0.9285816430940085,0.5069177764461495,0.779152309977778,0.6430350432119638,0.7643861056037919,3.7,1.8,0.001,0.0005,32
17,0.7249546416790927,0.6891219891219892,0.7817540199961515,0.6681552633620341,0.37451416871082654,0.9264018612543066,0.4995423339747434,0.7725030830354027,0.6360227085050731,0.7684356265333554,3.7,1.8,0.001,0.0005,64
18,0.7260340002200226,0.6676994301994302,0.8177155606103562,0.6343524398296889,0.363369064935177,0.9338357352193483,0.4959083660608187,0.7504215932885798,0.6231649796746993,0.767858543647001,3.7,1.8,0.001,0.001,32
19,0.7319839649705742,0.6932918932918933,0.7967795839820737,0.6671883459590746,0.38109406290684406,0.9313758072970051,0.5104626310311483,0.7730184034445796,0.641740517237864,0.7622807028963234,3.7,1.8,0.001,0.001,64
20,0.7224356002856464,0.6682530432530434,0.8106936206197581,0.6341775799515346,0.36165890144494467,0.930634710664275,0.49477559506373464,0.750749112461249,0.6227623537624918,0.7652194669175433,3.7,1.8,0.003,0.0005,32
21,0.7310826746729734,0.7183339808339808,0.7513599175325049,0.7108054318134414,0.39599965377534524,0.9222270842262433,0.512678068517285,0.799639142348068,0.6561586054326765,0.7657492001752763,3.7,1.8,0.003,0.0005,64
22,0.7237273762294681,0.6816951566951566,0.7949847376409617,0.6524700148179748,0.36911222255021475,0.9294907443969515,0.49937955427480785,0.7627047123685371,0.6310421333216725,0.7585133389745704,3.7,1.8,0.003,0.001,32
23,0.7436925301144387,0.7234265734265733,0.77967786816941,0.7077071920594673,0.4102014042143279,0.930444748630773,0.53120952410253,0.7997386614333865,0.6654740927679582,0.7733086340293374,3.7,1.8,0.003,0.001,64
24,0.7293603161336345,0.7360010360010361,0.7162341584616596,0.7424864738056096,0.41748560530437323,0.9140133011036102,0.516700127221281,0.8169148688700327,0.6668074980456569,0.7533256200499803,4.2,1.0,0.001,0.0005,32
25,0.7303776762631267,0.7207103082103081,0.7480538264920457,0.7127015260342076,0.40511889202981116,0.920856739559259,0.5192572628201764,0.7996103879306694,0.6594338253754228,0.7631533387897258,4.2,1.0,0.001,0.0005,64
26,0.7446037556185596,0.7220117845117844,0.780431401252945,0.7087761099841745,0.40654464210694585,0.9289829949596551,0.528345747978766,0.8012548673690165,0.6648003076738913,0.7739194972118173,4.2,1.0,0.001,0.001,32
27,0.7307833523796138,0.7164432789432789,0.7541907385067589,0.7073759662524689,0.3938023391069338,0.9208198280504648,0.5135767987220522,0.7981193842459685,0.6558480914840105,0.774740859749139,4.2,1.0,0.001,0.001,64
28,0.7375179205463538,0.7183404558404559,0.7699937079972677,0.7050421330954397,0.40019225395337926,0.9267452003340375,0.5214510702796001,0.79759922485068,0.6595251475651399,0.7713570352387481,4.2,1.0,0.003,0.0005,32
29,0.73654010513831,0.7252428127428129,0.7590084482612222,0.7140717620153978,0.40758355997715484,0.9263812389131042,0.5246167089801843,0.8019079476339198,0.663262328307052,0.7607195312462868,4.2,1.0,0.003,0.0005,64
30,0.719114166579206,0.7141187516187516,0.7265297615684853,0.7116985715899269,0.3895629764320291,0.9146746660425993,0.4975734216574751,0.7979532780800928,0.647763349868784,0.7588874435151477,4.2,1.0,0.003,0.001,32
31,0.7149052070659193,0.7164270914270914,0.7084510357890746,0.7213593783427638,0.3955416817519388,0.9109803257645789,0.49650593615358785,0.7994353972807615,0.6479706667171745,0.7663187284491078,4.2,1.0,0.003,0.001,64
32,0.7308512141852733,0.6965132090132088,0.7877976783376075,0.673904750032939,0.38451473721538426,0.9290339313408019,0.5105181577944704,0.7764339145983196,0.6434760361963952,0.7732050786585281,4.2,1.4,0.001,0.0005,32
33,0.7400183343267764,0.7039432789432791,0.7985405546303656,0.6814961140231872,0.3876873647585029,0.9326976889026447,0.5170259400308219,0.7849078742942844,0.6509669071625533,0.7767936892428541,4.2,1.4,0.001,0.0005,64
34,0.7234527176004758,0.6793641543641543,0.7946617314529374,0.6522437037480145,0.367642188226906,0.9313513334808637,0.49514785265513966,0.7612373126623798,0.6281925826587599,0.7517841518178009,4.2,1.4,0.001,0.001,32
35,0.7322916139877875,0.6941304066304067,0.7959018253978555,0.6686814025777197,0.38366968203503854,0.9326540183085859,0.509973222574078,0.7734564275838788,0.6417148250789783,0.7738089140765335,4.2,1.4,0.001,0.001,64
36,0.7292881731854468,0.7043835793835794,0.7662725765097351,0.6923037698611584,0.39051129600423856,0.923709339932764,0.5072562498442427,0.7869991613942469,0.6471277056192447,0.7654325726830853,4.2,1.4,0.003,0.0005,32
37,0.7326783430174939,0.7217042217042218,0.7513712162032781,0.7139854698317097,0.40611765974390934,0.9216328613471112,0.5203202333314261,0.8006763501222132,0.6604982917268196,0.7667288765303522,4.2,1.4,0.003,0.0005,64
38,0.7222255801570382,0.6784252784252783,0.7919995455484447,0.6524516147656315,0.36503985080836826,0.9280238882582886,0.4936546738287679,0.7625083539516212,0.6280815138901945,0.7630636152412013,4.2,1.4,0.003,0.001,32
39,0.7265635378097194,0.7266705516705516,0.7287626136610942,0.7243644619583444,0.4098158756186953,0.9163844340066023,0.5184702555767827,0.8051886649652029,0.6618294602709928,0.7584700933221846,4.2,1.4,0.003,0.001,64
40,0.7266392525802897,0.6755277130277129,0.8104455347623897,0.6428329703981901,0.3667244796443434,0.9332758348188855,0.49859800002424437,0.7573029966987372,0.627950498361491,0.7743730063904025,4.2,1.8,0.001,0.0005,32
41,0.7277891144853056,0.6862729862729862,0.79889520174795,0.6566830272226611,0.3700071915582269,0.9317913253717108,0.5029411166244715,0.7680124917492324,0.6354768041868518,0.7621058827586208,4.2,1.8,0.001,0.0005,64
42,0.7248379857014056,0.6863636363636364,0.7851524289462247,0.6645235424565864,0.372587908422442,0.9268699164004714,0.49825663303253853,0.7702944368692416,0.6342755349508901,0.7599036979179788,4.2,1.8,0.001,0.001,32
43,0.732431227497204,0.6980218855218855,0.7878782261185747,0.6769842288758334,0.3868780540899201,0.9280038254126364,0.5121356897360576,0.7773088056520778,0.6447222476940677,0.7707642277220433,4.2,1.8,0.001,0.001,64
44,0.7262911677783987,0.6464840714840714,0.856716861082534,0.5958654744742634,0.35151547379386955,0.9445093987980591,0.4927940916711633,0.724790028760806,0.6087920602159848,0.772167717475331,4.2,1.8,0.003,0.0005,32
45,0.7318242583164343,0.6965650090650092,0.7910238713319904,0.6726246453008782,0.3828608600555821,0.9301206187467457,0.5103912596336613,0.7765622735602479,0.6434767665969545,0.7689445384355765,4.2,1.8,0.003,0.0005,64
46,0.7272862810437631,0.6895687645687645,0.7910789770238603,0.6634935850636657,0.37538947442257314,0.9293989115530844,0.5047126018435152,0.7703902186822139,0.6375514102628644,0.7659767259254562,4.2,1.8,0.003,0.001,32
47,0.7197555231935555,0.6821516446516448,0.7793765927575872,0.6601344536295239,0.3724574335509588,0.9252394810022451,0.4949368116694016,0.7649802735767737,0.6299585426230876,0.7571691257411172,4.2,1.8,0.003,0.001,64
