config,balanced_acc,accuracy,recall_mci,recall_cn,precision_mci,precision_cn,f1_mci,f1_cn,f1_macro,auc,mci_weight,gamma,lr,heads,wd
0,0.7127778260411634,0.7002363377363378,0.733671234326106,0.6918844177562207,0.37495614061781524,0.9142645157725582,0.49196324971163113,0.78500570823195,0.6384844789717906,0.7456117718809774,3.7,1.0,0.001,2,0.0005
1,0.7348999240737938,0.7321904946904947,0.7382439935727239,0.7315558545748638,0.4116740480288238,0.9192977802190515,0.5218666821444163,0.8121603425166263,0.6670135123305213,0.7609869835153442,3.7,1.0,0.001,2,0.001
2,0.7087122114392012,0.6918738668738669,0.7342880747174616,0.6831363481609408,0.37300255830295154,0.9134518680432601,0.4863573791012114,0.7774322167401702,0.6318947979206907,0.7359057347002291,3.7,1.0,0.001,4,0.0005
3,0.7186448166708729,0.7104344729344729,0.7324170417975508,0.7048725915441953,0.38457911237919495,0.9151034256548318,0.5003827549281156,0.7946220224691308,0.6475023886986232,0.7526876759441322,3.7,1.0,0.001,4,0.001
4,0.7278499346354272,0.7257834757834759,0.7308191953974187,0.7248806738734358,0.4050411388551268,0.9160230343942324,0.5156504734861238,0.8062486555837733,0.6609495645349486,0.7597376657779313,3.7,1.0,0.003,2,0.0005
5,0.7303112541514291,0.718301605801606,0.7518137852158319,0.7088087230870264,0.3931789633275085,0.9218687011173867,0.5132407971439622,0.7997275112147514,0.6564841541793567,0.7675697487670627,3.7,1.0,0.003,2,0.001
6,0.7267356468384831,0.7257252007252006,0.7304649134217271,0.7230063802552392,0.4019901721570782,0.917393561693974,0.5142976604984726,0.8059466348024917,0.660122147650482,0.7519359858468467,3.7,1.0,0.003,4,0.0005
7,0.7304780168204903,0.7095473970473971,0.7637370534368337,0.6972189802041469,0.3888276819235913,0.923118318060043,0.5101201057787504,0.7922688779515319,0.6511944918651412,0.7710311773301612,3.7,1.0,0.003,4,0.001
8,0.7186369801308604,0.6918738668738669,0.7611699048620627,0.6761040553996585,0.3808828112032138,0.9230666746189116,0.4973566527085052,0.7732293537032956,0.6352930032059005,0.7432122568200776,3.7,1.4,0.001,2,0.0005
9,0.7359658879995367,0.7127331002331001,0.7754321227602802,0.6964996532387926,0.3918533055117376,0.927650518084572,0.5168439595253213,0.7934375924619033,0.6551407759936122,0.7635378418822217,3.7,1.4,0.001,2,0.001
10,0.7126972473422647,0.671043771043771,0.7818331894320845,0.6435613052524451,0.3566490507564341,0.9247806520271918,0.4855784299306375,0.7555034009117634,0.6205409154212005,0.7436316338085589,3.7,1.4,0.001,4,0.0005
11,0.7147241543973394,0.6728535353535353,0.7804240143441699,0.6490242944505086,0.3624526389091835,0.9239525313922548,0.48690979332901346,0.7579385886971636,0.6224241910130885,0.7540206450726415,3.7,1.4,0.001,4,0.001
12,0.7395508413155453,0.7341394716394717,0.748652069554313,0.7304496130767776,0.4130580149325679,0.9235434066251376,0.525992272434114,0.8134423856153371,0.6697173290247257,0.7754646383647299,3.7,1.4,0.003,2,0.0005
13,0.7264699029031542,0.6974812224812226,0.7751509439473238,0.6777888618589845,0.38466086843613867,0.9265217732788587,0.5066691991716696,0.7766975860737448,0.6416833926227071,0.7614692203321838,3.7,1.4,0.003,2,0.001
14,0.7316130421991969,0.7109751359751361,0.7677437434842982,0.6954823409140957,0.3914937606321488,0.9248524492972472,0.5152651709690133,0.7910392018912346,0.6531521864301238,0.7689902341195844,3.7,1.4,0.003,4,0.0005
15,0.72253924210001,0.6914659414659414,0.7740117768686219,0.6710667073313983,0.37575029582156694,0.9256857472381381,0.499468397953635,0.7741231885904768,0.636795793272056,0.7514873916664404,3.7,1.4,0.003,4,0.001
16,0.7142484326471629,0.6547979797979798,0.813431127771358,0.6150657375229679,0.35136780948170626,0.9319117172216711,0.4861775670975505,0.7359580993391946,0.6110678332183727,0.7601204898136544,3.7,1.8,0.001,2,0.0005
17,0.7351038129488255,0.7020979020979021,0.7893064701127464,0.6809011557849047,0.38831770057588033,0.9290166657364465,0.5155632972360364,0.782501600830097,0.6490324490330669,0.7712108784091658,3.7,1.8,0.001,2,0.001
18,0.7099144482205857,0.6440883190883191,0.8176759662533286,0.602152930187843,0.34238962003458234,0.9314885436033866,0.47824938016056623,0.7262317668558779,0.602240573508222,0.7448507285340006,3.7,1.8,0.001,4,0.0005
19,0.7117508284132196,0.6570350945350945,0.802032219682408,0.6214694371440312,0.34939582729061913,0.9285055642865022,0.48263300380908325,0.741258431869515,0.6119457178392991,0.7573868085752958,3.7,1.8,0.001,4,0.001
20,0.7242367463703555,0.6951178451178452,0.7748367278068843,0.6736367649338267,0.3801300689716668,0.928410658194437,0.5030096386957738,0.7740777065019818,0.6385436725988778,0.7557519635014057,3.7,1.8,0.003,2,0.0005
21,0.7331447855854898,0.7090520590520591,0.7742690729863937,0.692020498184586,0.39790849826988006,0.9263707394163786,0.517572179285488,0.7881560912163794,0.6528641352509337,0.760278351271058,3.7,1.8,0.003,2,0.001
22,0.7222779914532698,0.7076469826469826,0.7488871858037748,0.6956687971027644,0.3820606084657518,0.9197939118829731,0.5032991971168974,0.7896212701942024,0.6464602336555498,0.7612833908058418,3.7,1.8,0.003,4,0.0005
23,0.7226406286053848,0.723539886039886,0.7232822235406903,0.7219990336700792,0.39822902637427215,0.914617550241812,0.5099775448983416,0.8047390502168867,0.6573582975576141,0.7505563751214747,3.7,1.8,0.003,4,0.001
24,0.7207736153897694,0.702573815073815,0.7514965818555578,0.6900506489239808,0.38058173630483844,0.9195553782917754,0.5012786172822928,0.7852781878513073,0.6432784025668,0.7479347990311098,4.2,1.0,0.001,2,0.0005
25,0.7224267978124372,0.6984200984200987,0.7608827635193199,0.6839708321055543,0.37862983608274886,0.9220030104121372,0.5000625144058749,0.7817950099631539,0.6409287621845142,0.7484802073432654,4.2,1.0,0.001,2,0.001
26,0.714315180393874,0.7086506086506087,0.7239373848972465,0.7046929758905016,0.3839020138443247,0.912587232932691,0.4963803028194204,0.7924035299496166,0.6443919163845185,0.7419916767597502,4.2,1.0,0.001,4,0.0005
27,0.7124760039851599,0.698390960890961,0.7338209437162618,0.6911310642540581,0.3763887376402045,0.9129355929659242,0.4913258838619938,0.7832989162337369,0.6373124000478654,0.7443113567104367,4.2,1.0,0.001,4,0.001
28,0.7303017950920815,0.7239024864024863,0.7415718007300963,0.7190317894540664,0.39782953178365765,0.9189589671689119,0.5152193872644147,0.8056870209436364,0.6604532041040255,0.7587914538833564,4.2,1.0,0.003,2,0.0005
29,0.7209079472671612,0.6998186998186998,0.7565779627274307,0.6852379318068917,0.3777613460911486,0.921894179252262,0.49901538575985577,0.7830781893534636,0.6410467875566597,0.7611773502532321,4.2,1.0,0.003,2,0.001
30,0.7107985518940233,0.6979700854700854,0.7306018886992348,0.6909952150888122,0.37625611603283404,0.9125283566599844,0.4907009369604571,0.783539486751586,0.6371202118560215,0.7447586107074287,4.2,1.0,0.003,4,0.0005
31,0.7299217799613277,0.7313357938357938,0.7264869180773659,0.7333566418452897,0.4110780331679095,0.915858093001315,0.5186495569582585,0.8117386515195695,0.6651941042389141,0.7530785755205801,4.2,1.0,0.003,4,0.001
32,0.7152034496097054,0.6812807562807561,0.7711297820980362,0.6592771171213748,0.3718612836494277,0.9214064032454607,0.49479958072831454,0.7625794986422518,0.6286895396852832,0.7469411886763482,4.2,1.4,0.001,2,0.0005
33,0.7276103430796542,0.6863539238539238,0.7954476979679368,0.6597729881913718,0.3783184453223701,0.9310077673841178,0.5054712623677784,0.7663961904627021,0.6359337264152402,0.7666892499402771,4.2,1.4,0.001,2,0.001
34,0.7139059733227459,0.679425666925667,0.7718990548602687,0.6559128917852229,0.36555424747261117,0.9219305845816046,0.49134033571273517,0.7623640913264735,0.6268522135196044,0.746579223541774,4.2,1.4,0.001,4,0.0005
35,0.7188054818696947,0.6747927997927998,0.7917275800575708,0.645883383681819,0.36284154322571227,0.9274201744601498,0.49284305508383924,0.7568117227233518,0.6248273889035955,0.7451159372933921,4.2,1.4,0.001,4,0.001
36,0.7418380548194258,0.7160159285159285,0.7831881106331359,0.7004879990057159,0.3978331709782017,0.92816432945021,0.5231062500797842,0.7966004439060494,0.6598533469929166,0.7722353141245903,4.2,1.4,0.003,2,0.0005
37,0.72528684273098,0.6974294224294223,0.7685362126568468,0.6820374728051132,0.3812740304889672,0.9241857487190808,0.5016540019595337,0.7806611190574213,0.6411575605084774,0.7668131401068561,4.2,1.4,0.003,2,0.001
38,0.7345820457780038,0.6862470862470862,0.8140657848618857,0.6550983066941221,0.3774436681952866,0.9366655570139069,0.5095654779781648,0.7654670514575938,0.6375162647178791,0.7713116031230348,4.2,1.4,0.003,4,0.0005
39,0.7233426314073553,0.6816789691789693,0.791937611727034,0.654747651087677,0.36952797798827414,0.928873421332366,0.49765365792551425,0.7640729425658457,0.6308633002456799,0.7580056576304064,4.2,1.4,0.003,4,0.001
